,,,,,,,,,,,,,,,,,,,,,,,,,
,Vegan Playlist Video Database,,"language, nudity",gore videos,,,,,,ONLY 4 TAGS MAX PER VIDEO PLEASE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,URL,TITLE,Mature,Graphic,Humor       ,Environment ,Ethics      ,Health      ,Inspiring   ,Documentary ,Information ,Fitness     ,Activism    ,Speech      ,Music       ,Recipes     ,Science     ,Cosmetics ,Debate ,Sketches,Undercover,News,Podcast,Guides,Arguments
1,https://www.youtube.com/watch?v=Z3u7hXpOm58,You Will Never Look at Your Life in the Same Way Again, , ,,,X,,X,,X,,,X,,,,,,,,,,,
2,https://www.youtube.com/watch?v=U5hGQDLprA8,The Most Important Speech You Will Ever Hear, ,, ,,X,,X,,X,,,X,,,,,,,,,,,
3,https://www.youtube.com/watch?v=UcN7SGGoCNI,Dairy Is Scary, ,X, ,X,X,X,,,X,,,,,,,,,,,,,,
4,https://www.youtube.com/watch?v=y2k4NHjAP84,Why Vegan?, , , ,x,x,,,,x,,,,,,,,,,,,,,
5,https://www.youtube.com/watch?v=OJxMsypwnqg,Beginners Guide to Veganism, , , ,,,X,,,X,,,,,X,,,,,,,,X,
6,https://www.youtube.com/watch?v=zKwnMCEp3HM,How To Prevent Deficiencies On A Vegan Diet, , , ,,,X,,,X,,,,,X,X,,,,,,,,
7,https://www.youtube.com/watch?v=bcN2HjOutEk,The Science of Vegan Fat Loss, , , ,,,X,,,X,,,,,,X,,,,,,,,
8,https://www.youtube.com/watch?v=oW682wH7078,How To Become A Vegan Activist, , , ,,X,,X,,,,X,,,,,,,,,,,,
9,https://www.youtube.com/watch?v=CTqFv_XMxHw,Why Vegans Want You To Be Vegan, ,X, ,,X,,X,,,,,,,,,,,,,,,,
10,https://www.youtube.com/watch?v=PxCF_8sY54o,How To Talk To Non-Vegans, , , ,,X,,,,X,,X,,,,,,,,,,,,
11,https://youtu.be/ny6aqdFy9SI,Dominion Documentary (2018),,X, ,,X,,,X,X,,,,,,,,,,,,,,
12,https://youtu.be/oJ_7xGN-38A,Meat is Murder | Cambridge University Debate, , , ,,X,,,,,,,X,,,,,,,,,,,
13,https://youtu.be/SxBqoqH6RWE,How Ableism Hurts Animals, ,X, ,,X,,,,X,,X,,,,,,,,,,,,
14,https://www.youtube.com/watch?v=yKp8-X1zZqo,How Your Body Transforms On a Vegan Diet (Part 1), , , ,,,X,,,X,,,,,,,,,,,,,,
15,https://www.youtube.com/watch?v=HAaK--L9tDk,How Your Body Transforms On a Vegan Diet (Part 2), , , ,,,X,,,X,,,,,,,,,,,,,,
16,https://www.youtube.com/watch?v=vBx7MGIZ1fU,Speech on Animal Rights by Phillip Wollen, , , ,,X,,X,,,,,X,,X,,,,,,,,,
17,https://www.youtube.com/watch?v=2bvoJAfjWMM,Environmental Benefits of Veganism, , , ,X,,,,,X,,,X,,,,,,,,,,,
18,https://www.youtube.com/watch?v=-wkdH_wluhw,"What Animals Are Thinking and Feeling, and Why it Should Matter", , , ,,X,,,,X,,,X,,,,,,,,,,,
19,https://www.youtube.com/watch?v=zs_UTC9f1YE,We Should All Be Vegan | Change My Mind | Earthling Ed, , , ,,X,,,,,,X,,,,,,,,,,,,
